player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,rad_win
Sven,Sniper,Bounty Hunter,Faceless Void,Bristleback,Legion Commander,Riki,Zeus,Windranger,Tidehunter,False
Magnus,Phantom Assassin,Riki,Queen of Pain,Ember Spirit,Timbersaw,Mirana,Phantom Lancer,Drow Ranger,Earthshaker,True
Drow Ranger,Shadow Shaman,Elder Titan,Dark Seer,Earthshaker,Juggernaut,Witch Doctor,Enchantress,Pugna,Clockwerk,True
Huskar,Leshrac,Dazzle,Windranger,Alchemist,Faceless Void,Techies,Meepo,Lich,Invoker,True
Vengeful Spirit,Sven,Witch Doctor,Juggernaut,Lich,Sand King,Pudge,Faceless Void,Bloodseeker,Queen of Pain,True
Chaos Knight,Earthshaker,Centaur Warrunner,Meepo,Crystal Maiden,Ursa,Sven,Slardar,Mirana,Queen of Pain,True
Dragon Knight,Riki,Skywrath Mage,Ogre Magi,Terrorblade,Lifestealer,Sniper,Windranger,Pudge,Beastmaster,True
Phantom Lancer,Legion Commander,Sven,Drow Ranger,Sniper,Monkey King,Pugna,Bloodseeker,Juggernaut,Shadow Shaman,False
Abaddon,Phoenix,Tidehunter,Medusa,Meepo,Bloodseeker,Templar Assassin,Visage,Drow Ranger,Viper,False
Luna,Beastmaster,Bristleback,Nyx Assassin,Troll Warlord,Legion Commander,Nature's Prophet,Slardar,Zeus,Skywrath Mage,True
Windranger,Huskar,Crystal Maiden,Troll Warlord,Mirana,Shadow Shaman,Riki,Drow Ranger,Techies,Phantom Assassin,True
Drow Ranger,Windranger,Rubick,Sniper,Ancient Apparition,Clinkz,Huskar,Timbersaw,Kunkka,Omniknight,True
Sand King,Broodmother,Lina,Axe,Sniper,Ursa,Troll Warlord,Legion Commander,Invoker,Keeper of the Light,True
Riki,Lion,Phantom Assassin,Ogre Magi,Mirana,Axe,Clinkz,Bounty Hunter,Anti-Mage,Death Prophet,False
Venomancer,Tusk,Slardar,Storm Spirit,Anti-Mage,Chen,Pugna,Lycan,Nyx Assassin,Luna,False
Kunkka,Keeper of the Light,Ancient Apparition,Spectre,Pugna,Invoker,Silencer,Phantom Assassin,Terrorblade,Earthshaker,False
Sniper,Riki,Sven,Pudge,Abaddon,Juggernaut,Templar Assassin,Batrider,Clinkz,Ogre Magi,True
Earthshaker,Spectre,Invoker,Skywrath Mage,Faceless Void,Tusk,Jakiro,Phantom Assassin,Mirana,Kunkka,False
Luna,Lion,Invoker,Slardar,Legion Commander,Sven,Lone Druid,Windranger,Sniper,Undying,True
Invoker,Faceless Void,Elder Titan,Pudge,Windranger,Ogre Magi,Earthshaker,Bloodseeker,Phantom Lancer,Winter Wyvern,False
Medusa,Slark,Gyrocopter,Earthshaker,Kunkka,Legion Commander,Viper,Disruptor,Anti-Mage,Necrophos,True
Shadow Fiend,Viper,Oracle,Slark,Medusa,Sniper,Treant Protector,Troll Warlord,Pudge,Outworld Devourer,False
Phantom Assassin,Lifestealer,Shadow Shaman,Sven,Luna,Windranger,Tinker,Ursa,Pudge,Juggernaut,False
Sand King,Lion,Undying,Weaver,Centaur Warrunner,Omniknight,Bane,Gyrocopter,Venomancer,Abaddon,False
Ursa,Oracle,Meepo,Axe,Enigma,Bloodseeker,Ancient Apparition,Tiny,Drow Ranger,Ember Spirit,True
Alchemist,Zeus,Shadow Fiend,Anti-Mage,Enchantress,Juggernaut,Sven,Axe,Bristleback,Sniper,True
Phantom Assassin,Jakiro,Io,Invoker,Slardar,Windranger,Oracle,Slark,Lina,Spirit Breaker,False
