player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,rad_win
Phantom Assassin,Lion,Tidehunter,Vengeful Spirit,Alchemist,Slardar,Mirana,Jakiro,Outworld Devourer,Spirit Breaker,False
Morphling,Legion Commander,Necrophos,Slardar,Ogre Magi,Techies,Drow Ranger,Clinkz,Anti-Mage,Chaos Knight,True
Troll Warlord,Kunkka,Enigma,Necrophos,Pugna,Omniknight,Magnus,Tidehunter,Pudge,Monkey King,True
Chaos Knight,Pudge,Warlock,Monkey King,Mirana,Bristleback,Queen of Pain,Bounty Hunter,Kunkka,Necrophos,True
Dark Seer,Shadow Fiend,Monkey King,Necrophos,Keeper of the Light,Luna,Riki,Rubick,Broodmother,Earthshaker,True
Tinker,Necrophos,Slark,Wraith King,Visage,Omniknight,Lycan,Winter Wyvern,Leshrac,Bounty Hunter,True
Drow Ranger,Spirit Breaker,Sniper,Pudge,Wraith King,Bloodseeker,Slark,Tusk,Monkey King,Night Stalker,True
Axe,Storm Spirit,Anti-Mage,Gyrocopter,Lina,Nyx Assassin,Pudge,Sniper,Bloodseeker,Jakiro,False
Sven,Warlock,Viper,Omniknight,Zeus,Nyx Assassin,Huskar,Io,Necrophos,Tiny,False
Queen of Pain,Huskar,Clinkz,Sniper,Spirit Breaker,Axe,Wraith King,Phantom Assassin,Outworld Devourer,Death Prophet,True
Night Stalker,Witch Doctor,Riki,Monkey King,Leshrac,Faceless Void,Legion Commander,Necrophos,Kunkka,Viper,True
Treant Protector,Tinker,Anti-Mage,Weaver,Witch Doctor,Ogre Magi,Ancient Apparition,Vengeful Spirit,Invoker,Mirana,True
Necrophos,Outworld Devourer,Terrorblade,Oracle,Spectre,Arc Warden,Razor,Bloodseeker,Disruptor,Bristleback,False
Pudge,Huskar,Lich,Drow Ranger,Legion Commander,Bloodseeker,Troll Warlord,Riki,Phantom Assassin,Dazzle,False
Lycan,Razor,Queen of Pain,Bristleback,Enchantress,Drow Ranger,Omniknight,Bane,Earth Spirit,Death Prophet,True
Phantom Lancer,Spectre,Zeus,Omniknight,Witch Doctor,Monkey King,Treant Protector,Pudge,Tidehunter,Leshrac,True
Silencer,Viper,Pudge,Shadow Demon,Bloodseeker,Jakiro,Night Stalker,Necrophos,Spirit Breaker,Faceless Void,True
Viper,Gyrocopter,Bristleback,Bloodseeker,Spectre,Night Stalker,Magnus,Weaver,Troll Warlord,Morphling,True
